drug,target
8-Hydroxyquinoline,EGFR
8-Hydroxyquinoline,HMOX1
8-Hydroxyquinoline,HSPA1A
8-Hydroxyquinoline,HSPA8
8-Hydroxyquinoline,PABPN1
8-Hydroxyquinoline,SOD2
8-Hydroxyquinoline,UGT2B15
2-Methoxyestradiol,AQP1
2-Methoxyestradiol,AQP4
2-Methoxyestradiol,BCL2
2-Methoxyestradiol,CCNB1
2-Methoxyestradiol,COMT
2-Methoxyestradiol,CTF1
2-Methoxyestradiol,CTNNB1
2-Methoxyestradiol,CYP1A1
2-Methoxyestradiol,HIF1A
2-Methoxyestradiol,HSD17B2
2-Methoxyestradiol,PRDX4
2-Methoxyestradiol,SOD2
2-Methoxyestradiol,SULT1A1
2-Methoxyestradiol,TJP1
2-Methoxyestradiol,TUBB4A
2-Methoxyestradiol,UGT1A1
2-Methoxyestradiol,UGT1A10
2-Methoxyestradiol,UGT1A3
2-Methoxyestradiol,UGT1A7
2-Methoxyestradiol,UGT1A8
Albendazole,CCL2
Albendazole,CCL3
Albendazole,CD86
Albendazole,CXCL8
Albendazole,CYP1A1
Albendazole,CYP1A2
Albendazole,CYP3A4
Albendazole,ICAM1
Albendazole,IL10
Albendazole,IL1A
Albendazole,IL6R
Albendazole,MAPT
Albendazole,TNF
Albendazole,VEGFA
Allicin,ICAM1
Allicin,TNF
Allicin,TRPA1
Allicin,TRPV1
Allopurinol,ADIPOQ
Allopurinol,ADIPOR2
Allopurinol,AGT
Allopurinol,CAT
Allopurinol,CCL2
Allopurinol,CKM
Allopurinol,GRIN2A
Allopurinol,GSR
Allopurinol,HLA-B
Allopurinol,HMOX1
Allopurinol,IL6
Allopurinol,MAPK14
Allopurinol,MMP9
Allopurinol,MPO
Allopurinol,NFAT5
Allopurinol,NOS3
Allopurinol,PTGS2
Allopurinol,SLC22A7
Allopurinol,SLC22A8
Allopurinol,STAT1
Amiodarone,ADIPOQ
Amiodarone,BAX
Amiodarone,BCL2
Amiodarone,CASP3
Amiodarone,CASP7
Amiodarone,CASP8
Amiodarone,CCND1
Amiodarone,CCNE1
Amiodarone,CDK2
Amiodarone,CDK4
Amiodarone,CDKN1A
Amiodarone,CRP
Amiodarone,CTSD
Amiodarone,CYP1A1
Amiodarone,CYP2B6
Amiodarone,CYP3A5
Amiodarone,DRD1
Amiodarone,DRD2
Amiodarone,EDN1
Amiodarone,GAL
Amiodarone,GSR
Amiodarone,GUSB
Amiodarone,HSPD1
Amiodarone,ICAM1
Amiodarone,INS
Amiodarone,JAK2
Amiodarone,LEP
Amiodarone,MTF1
Amiodarone,NOS3
Amiodarone,OLR1
Amiodarone,PPBP
Amiodarone,RB1
Amiodarone,REN
Amiodarone,RETN
Amiodarone,SELP
Amiodarone,SMAD2
Amiodarone,SMAD4
Amiodarone,SOD1
Amiodarone,TGFB1
Amiodarone,TNF
Amitriptyline,BAX
Amitriptyline,BCL2
Amitriptyline,CASP3
Amitriptyline,CAT
Amitriptyline,CHRNB2
Amitriptyline,CYP1A2
Amitriptyline,CYP2C19
Amitriptyline,CYP2C9
Amitriptyline,CYP2D6
Amitriptyline,CYP3A4
Amitriptyline,CYP3A5
Amitriptyline,DES
Amitriptyline,DNMT1
